instrument_id,listing_id,quote,quote_date
12505052093107,365,0.0,2025-04-10T09:18:00Z
12531964928524,65,115.42,2025-04-30T14:15:00Z
125935052615,67,175.97,2023-10-10T14:30:00Z
12617,201,0.0,1599-12-31T23:25:52Z
12643,2288,50.0,2018-01-31T10:15:13Z
12645,250,100.0,2009-11-20T05:00:00Z
12645584712307,17,4.1,2025-04-30T11:58:00Z
126543544205,106,1692.0,2025-04-30T13:30:00Z
126607934251,106,3771.0,2025-04-30T13:30:00Z
126607934251,13,22.87,2025-04-30T14:37:00Z
12679815229779,1174,35.826,2025-04-30T15:29:00Z
12679815229779,65,43.71,2025-04-30T14:15:00Z
12689,201,0.0,1599-12-31T23:25:52Z
12690,201,0.0,1599-12-31T23:25:52Z
12691,201,0.0,1599-12-31T23:25:52Z
12695413863000,18,12.0,2025-04-30T06:01:00Z
12695413863000,65,13.92,2025-04-30T14:15:00Z
127299967915,393,864.84,2025-04-29T07:02:00Z
127401484497,2779,738.703,2025-04-30T19:59:00Z
127401484497,431,829.47,2025-04-29T22:00:00Z
12754,4,6.5,2025-04-29T08:34:00Z
12782,65,50.2,2025-04-30T14:15:00Z
127921275717,254,0.0,2005-12-20T12:43:12Z
127988701120,354,233.96,2025-04-29T22:00:00Z
127989097128,1174,6.767,2025-04-30T15:29:00Z
127989097128,13,7.302,2025-04-30T13:53:00Z
127989097128,53,81.38,2025-04-30T11:30:00Z
12824519519008,65,126.34,2025-04-30T14:15:00Z
128505838621,365,0.0,2014-08-20T14:02:32Z
128848485442,466,5.5,2025-04-30T06:30:00Z
128852051402,44,20.3,2025-04-30T15:35:00Z
128886612449,669,0.0,2024-08-23T12:29:10Z
129551798477,1174,86.024,2025-04-30T15:29:00Z
129551798477,44,92.38,2025-04-30T15:35:00Z
129551798477,67,106.54,2025-04-30T14:30:00Z
129627833378,2779,111.102,2025-04-30T19:58:00Z
129627833378,491,126.7,2025-04-30T20:04:00Z
12993,466,860.0,2025-04-30T07:36:00Z
13016734324871,69,557.96,2025-04-30T14:15:00Z
130318151692,2779,269.383,2025-04-30T07:32:00Z
130318151692,431,309.759,2025-04-29T22:00:00Z
13056,466,1300.0,2025-04-30T08:32:00Z
13058,254,0.0,1996-04-03T06:32:00Z
130763003674,254,0.0,2015-01-14T08:55:22Z
13076392624229,4411,144.1,2025-04-29T10:40:00Z
13076399824295,4411,108.98,2025-04-29T10:40:00Z
13076417024413,4411,236.71,2025-04-29T10:40:00Z
13077386925244,4411,129.54,2025-04-29T10:40:00Z
13077389625254,4411,118.46,2025-04-29T10:40:00Z
13077391825262,4411,60.47,2025-04-29T10:40:00Z
13077394125272,4411,63.39,2025-04-29T10:40:00Z
13077396225280,4411,112.95,2025-04-29T10:40:00Z
13077398525288,4411,104.29,2025-04-29T10:40:00Z
130837629305,67,598.76,2025-04-30T14:30:00Z
130927509444,354,487.57,2025-04-29T22:00:00Z
130929318021,1174,27.556,2025-04-30T16:00:00Z
130929318021,44,28.89,2025-04-30T15:36:00Z
13096,178,439.45,2025-04-30T21:45:00Z
13097,178,875.95,2025-04-30T21:45:00Z
131270618072,2779,9.416,2025-04-30T13:48:00Z
131270618072,67,10.88,2025-04-30T14:30:00Z
131464057729,851,0.0,2016-08-19T12:08:41Z
131469250750,507,0.47,2022-04-26T16:43:00Z
131616420589,65,39.05,2025-04-30T14:15:00Z
131620943601,4,181.8,2025-04-30T15:30:00Z
131647099654,365,0.0,2021-04-20T14:13:27Z
13196885417471,466,62.1,2025-04-30T10:24:00Z
13225175668964,254,0.0,2011-05-02T05:57:00Z
13301132735672,16,202.26,2022-03-02T07:41:00Z
13317470133567,4,588.6,2025-04-30T15:31:00Z
133181508524,3230,71.7,2025-04-30T16:15:00Z
133259776467,2779,30.0,2025-04-30T15:13:00Z
133259776467,65,34.2,2025-04-30T14:15:00Z
133346315989,431,15.961,2025-04-29T22:00:00Z
13350,254,0.0,1993-09-05T22:00:00Z
13360390950780,104,5.94,2025-04-30T14:08:00Z
13360390950780,2779,0.6674,2025-04-30T19:48:00Z
13360414450805,2779,9.25,2025-04-30T13:58:00Z
13360414450805,361,7.918,2025-04-30T14:35:00Z
133774958718,4,116.3,2025-04-30T15:31:00Z
133981146374,1058,10.81,2025-04-30T15:35:00Z
134380753039,393,835.235,2025-04-29T17:02:00Z
13438394759347,4,179.0,2025-04-30T15:30:00Z
134664076353,2779,31.89,2025-04-30T20:00:00Z
134664076353,65,36.32,2025-04-30T14:15:00Z
13483878368391,1174,114.298,2025-04-30T16:00:00Z
13483878368391,65,138.91,2025-04-30T14:15:00Z
13491984613447,200,74.3037,2002-12-31T15:16:00Z
13491985113498,200,65.9458,2002-12-31T15:16:00Z
13491985213515,200,0.0751,2002-12-31T15:16:00Z
13491985413532,200,10.5612,2002-12-31T15:16:00Z
13491986013601,200,24.442,2002-12-31T15:16:00Z
13491986313618,200,0.7249,2002-12-31T15:16:00Z
13491986413635,200,0.8734,2002-12-31T15:16:00Z
13491986513651,200,0.4265,2002-12-31T15:16:00Z
13491987013718,200,3.6025,2002-12-31T15:16:00Z
13498643353189,9748,0.596196,2025-04-30T15:30:00Z
13530,201,0.0,1599-12-31T23:25:52Z
13548,16,0.05,2025-04-30T15:29:00Z
135770477793,67,8.98,2025-04-30T14:30:00Z
13598,706,2637.36,2025-04-28T22:00:00Z
